cruise_line,destination,departure_port,cabin_type,duration_nights,departure_month,days_until_departure,ship_age_years,passengers,price
Royal Caribbean,Caribbean,Los Angeles,Balcony,4,5,127,17,2,6900
Disney,Hawaii,San Juan,Suite,7,4,86,13,2,55720
Disney,Northern Europe,Miami,Balcony,10,9,234,14,4,114940
Celebrity,Bahamas,New York,Balcony,8,12,337,11,1,10020
Princess,Mediterranean,Los Angeles,Interior,10,12,335,20,2,21180
Royal Caribbean,Caribbean,Tampa,Balcony,10,11,296,6,1,9570
MSC,Mediterranean,Galveston,Ocean View,7,6,148,4,4,33190
Princess,Alaska,Miami,Interior,12,6,128,18,2,28000
Norwegian,Mexico,Port Canaveral,Interior,7,10,276,3,3,8850
Disney,South Pacific,New York,Balcony,14,10,264,7,4,174540
Royal Caribbean,Mexico,Miami,Suite,4,10,252,12,2,9480
Carnival,South Pacific,Fort Lauderdale,Suite,12,12,318,4,1,55060
Princess,Hawaii,San Juan,Suite,6,9,239,16,2,30250
Carnival,Bahamas,Seattle,Ocean View,6,5,123,13,2,5690
Disney,Northern Europe,Fort Lauderdale,Suite,12,1,347,8,2,119020
Norwegian,South Pacific,Fort Lauderdale,Interior,8,9,228,3,3,30160
Celebrity,Alaska,San Juan,Interior,12,1,350,3,2,23840
Holland America,Caribbean,San Juan,Balcony,5,3,60,18,2,12440
Norwegian,South Pacific,Fort Lauderdale,Ocean View,12,3,65,24,2,37090
MSC,Northern Europe,San Juan,Interior,11,2,21,5,2,17920
Princess,Hawaii,Miami,Balcony,4,4,80,18,2,12260
Carnival,Alaska,Fort Lauderdale,Interior,10,8,199,13,2,20880
Norwegian,Hawaii,Galveston,Balcony,7,11,297,19,1,10320
Royal Caribbean,Alaska,San Juan,Ocean View,8,6,146,14,2,22460
Disney,South Pacific,New Orleans,Suite,8,7,183,13,2,61550
Disney,Mexico,Tampa,Interior,5,12,313,1,1,6830
Princess,Mediterranean,New Orleans,Ocean View,8,2,10,15,3,21720
Norwegian,Alaska,New York,Suite,12,3,43,12,3,69150
Royal Caribbean,Northern Europe,Los Angeles,Interior,12,11,301,13,2,29290
Holland America,Mexico,Seattle,Interior,3,7,173,5,3,5980
Disney,Hawaii,Seattle,Interior,7,6,131,13,2,29660
Carnival,Northern Europe,Galveston,Balcony,9,3,46,16,2,23250
MSC,Hawaii,Port Canaveral,Balcony,5,4,81,8,2,14490
Norwegian,Bahamas,Los Angeles,Ocean View,6,11,295,24,2,5350
Celebrity,Hawaii,Los Angeles,Ocean View,4,9,233,20,2,12090
Princess,Caribbean,New York,Balcony,4,9,243,14,1,4520
Celebrity,Mexico,Fort Lauderdale,Interior,6,10,266,12,2,6720
Royal Caribbean,South Pacific,Galveston,Ocean View,9,3,38,14,2,30260
Celebrity,Bahamas,Miami,Ocean View,5,9,231,14,2,6050
Norwegian,Hawaii,New Orleans,Balcony,5,7,180,21,2,16900
Celebrity,Bahamas,Fort Lauderdale,Balcony,6,8,204,9,2,9880
Norwegian,Hawaii,San Juan,Interior,6,7,186,9,4,28370
Holland America,Alaska,New Orleans,Interior,12,4,72,21,3,25210
Carnival,Northern Europe,Miami,Balcony,9,5,116,10,4,48070
Disney,Mediterranean,Port Canaveral,Ocean View,11,3,58,16,3,51050
Royal Caribbean,Hawaii,San Juan,Ocean View,5,4,90,5,3,20300
Norwegian,South Pacific,Seattle,Interior,10,9,234,19,2,20690
Disney,Mediterranean,New Orleans,Ocean View,14,5,106,11,2,45590
Disney,South Pacific,Seattle,Balcony,13,4,89,6,3,111700
Norwegian,Mexico,Los Angeles,Interior,8,11,290,3,3,11500
Carnival,Mexico,Port Canaveral,Interior,5,10,269,4,3,5520
Carnival,Mediterranean,Galveston,Suite,13,2,34,12,2,50340
MSC,Northern Europe,Galveston,Interior,12,3,57,22,2,17650
Norwegian,Alaska,New Orleans,Interior,14,1,363,4,3,35030
Disney,South Pacific,Fort Lauderdale,Interior,10,4,83,17,4,58080
Holland America,Bahamas,Tampa,Balcony,5,2,31,7,2,9590
Disney,Bahamas,Los Angeles,Interior,6,2,15,20,2,8320
MSC,Alaska,Seattle,Balcony,12,6,130,18,2,40780
Carnival,Hawaii,New York,Interior,6,10,266,17,1,6770
Disney,Caribbean,Galveston,Suite,5,2,15,11,3,32360
Celebrity,Mediterranean,San Juan,Interior,12,4,75,1,2,31070
Celebrity,Alaska,Los Angeles,Suite,9,3,39,22,3,64020
Disney,Caribbean,Tampa,Balcony,3,5,109,1,2,8630
Princess,Northern Europe,New Orleans,Suite,10,6,153,11,3,107780
Royal Caribbean,Hawaii,Fort Lauderdale,Balcony,7,9,230,12,3,29390
Holland America,Hawaii,Los Angeles,Ocean View,6,8,195,25,2,17640
Carnival,Northern Europe,Seattle,Interior,9,11,286,9,2,20160
Carnival,Hawaii,New Orleans,Balcony,5,9,225,5,2,14230
Celebrity,South Pacific,Galveston,Interior,13,6,147,20,4,59130
Royal Caribbean,Bahamas,Galveston,Suite,6,1,354,5,4,30690
Norwegian,South Pacific,Port Canaveral,Interior,12,8,192,12,4,46750
Royal Caribbean,Alaska,Galveston,Suite,8,11,300,4,2,32190
Holland America,Hawaii,Tampa,Balcony,9,2,20,23,2,33270
Holland America,Bahamas,New Orleans,Balcony,7,5,116,19,2,9420
Disney,Mediterranean,Port Canaveral,Interior,14,4,95,22,2,37960
Carnival,Hawaii,Fort Lauderdale,Balcony,6,6,155,9,3,35280
Norwegian,Hawaii,Fort Lauderdale,Ocean View,10,4,78,7,3,34470
Royal Caribbean,Hawaii,Los Angeles,Balcony,7,11,289,4,2,22660
Carnival,Bahamas,Seattle,Balcony,11,10,252,16,2,12540
Holland America,Bahamas,Galveston,Ocean View,6,9,237,14,2,6150
Celebrity,Alaska,Port Canaveral,Ocean View,7,4,70,16,2,14030
Norwegian,Alaska,Tampa,Balcony,11,3,47,8,2,25050
Princess,Alaska,San Juan,Balcony,9,11,310,18,2,24380
Celebrity,Caribbean,Fort Lauderdale,Interior,3,12,335,24,2,5020
MSC,Northern Europe,Los Angeles,Interior,11,12,335,9,2,21390
Holland America,Mexico,Fort Lauderdale,Suite,6,4,87,14,2,19140
Disney,Mediterranean,San Juan,Balcony,12,7,183,12,2,73240
Celebrity,Bahamas,Tampa,Balcony,6,6,143,14,2,8860
Carnival,Caribbean,Seattle,Balcony,8,9,221,7,4,22250
Norwegian,Hawaii,Tampa,Balcony,7,10,262,16,2,19110
Princess,South Pacific,Fort Lauderdale,Interior,14,6,130,6,2,37180
Royal Caribbean,Caribbean,Los Angeles,Balcony,6,12,341,21,2,14680
Royal Caribbean,Bahamas,Port Canaveral,Suite,8,8,194,24,2,15350
Royal Caribbean,Northern Europe,San Juan,Interior,12,11,290,9,1,15940
Disney,Mexico,Port Canaveral,Interior,10,8,208,11,3,19840
Celebrity,Hawaii,Tampa,Ocean View,6,8,212,16,1,10990
Royal Caribbean,Alaska,Los Angeles,Balcony,9,12,317,16,2,24470
Celebrity,Alaska,San Juan,Suite,11,11,310,10,2,52930
Disney,Mexico,Miami,Suite,5,1,351,3,4,47930
Princess,Caribbean,New Orleans,Suite,9,11,303,18,2,22920
Royal Caribbean,South Pacific,New York,Ocean View,13,4,82,21,2,39980
Carnival,Mediterranean,Los Angeles,Interior,9,8,218,22,2,22180
Disney,Caribbean,New York,Ocean View,5,7,173,21,2,10510
Holland America,Hawaii,Los Angeles,Ocean View,8,7,182,17,2,31450
Princess,South Pacific,Tampa,Ocean View,11,5,122,9,3,52720
MSC,South Pacific,Los Angeles,Balcony,11,6,154,3,2,40360
Holland America,Northern Europe,Port Canaveral,Balcony,11,3,47,11,4,74410
Princess,South Pacific,Tampa,Ocean View,11,11,294,22,2,40150
Carnival,Mediterranean,Miami,Ocean View,10,12,333,7,1,14000
Holland America,Hawaii,Fort Lauderdale,Suite,6,4,77,0,4,69490
Norwegian,Northern Europe,Los Angeles,Suite,11,7,171,9,2,94880
Carnival,Mediterranean,Port Canaveral,Interior,9,2,25,12,3,18170
Norwegian,Mexico,Miami,Interior,5,12,315,3,4,11680
Celebrity,Mexico,New York,Suite,6,4,75,16,2,21040
MSC,Bahamas,Port Canaveral,Balcony,7,12,338,8,3,14280
Royal Caribbean,Hawaii,San Juan,Balcony,6,5,105,5,2,22340
Holland America,Northern Europe,Fort Lauderdale,Balcony,8,5,101,4,2,35810
MSC,Caribbean,Seattle,Balcony,5,6,143,10,2,8790
Royal Caribbean,Mexico,Tampa,Balcony,4,4,67,14,2,6610
Holland America,Mexico,New Orleans,Interior,5,5,120,7,4,8900
Disney,Alaska,San Juan,Suite,14,11,282,25,2,79460
MSC,Mediterranean,New York,Interior,12,3,46,18,2,19120
MSC,Alaska,Galveston,Ocean View,14,3,66,21,2,21520
Disney,Bahamas,Miami,Suite,6,10,269,13,2,19730
Royal Caribbean,South Pacific,Miami,Balcony,7,5,118,18,1,16680
Holland America,Hawaii,New York,Interior,11,3,42,15,1,15820
Holland America,Alaska,Seattle,Ocean View,13,9,236,12,2,37230
Norwegian,Hawaii,Port Canaveral,Interior,11,8,208,16,2,23830
MSC,Caribbean,New Orleans,Interior,6,11,285,13,2,4610
MSC,Mediterranean,Galveston,Suite,10,3,64,1,3,53530
Holland America,Caribbean,Tampa,Ocean View,4,12,311,1,2,10220
Royal Caribbean,Mediterranean,Seattle,Interior,10,2,35,4,2,24380
Princess,Mediterranean,San Juan,Balcony,12,6,128,9,3,83910
MSC,Northern Europe,New Orleans,Balcony,9,12,327,21,2,23040
Disney,Caribbean,Seattle,Balcony,7,7,170,22,2,16480
Norwegian,Mexico,Port Canaveral,Suite,7,9,249,7,3,23380
Princess,Alaska,Miami,Suite,13,11,292,16,2,56980
MSC,Mexico,Galveston,Ocean View,6,9,237,11,1,2790
MSC,Caribbean,Seattle,Balcony,6,12,315,1,3,21780
MSC,Mediterranean,Tampa,Suite,12,7,162,0,2,79060
MSC,Bahamas,Tampa,Suite,6,5,111,12,4,18440
Celebrity,Mexico,Los Angeles,Suite,6,8,190,9,2,18840
Disney,South Pacific,Los Angeles,Interior,12,5,111,11,2,47450
Royal Caribbean,Mediterranean,Miami,Ocean View,13,7,158,4,2,48590
MSC,Northern Europe,Los Angeles,Ocean View,12,6,138,24,3,49590
Disney,South Pacific,Galveston,Ocean View,14,5,101,17,4,103640
Royal Caribbean,Caribbean,Miami,Interior,7,8,218,4,3,12290
MSC,Bahamas,Miami,Ocean View,5,9,240,11,1,2640
Disney,South Pacific,Miami,Interior,13,2,13,0,2,66450
Princess,Mexico,New York,Interior,7,1,352,13,3,15550
Norwegian,Bahamas,New York,Interior,4,5,105,19,2,3410
Celebrity,Mexico,Fort Lauderdale,Suite,5,8,214,14,2,14550
MSC,Mexico,Miami,Interior,4,8,201,12,2,3240
Royal Caribbean,Caribbean,Fort Lauderdale,Ocean View,6,9,229,20,3,11180
Carnival,Caribbean,Tampa,Ocean View,8,1,361,18,2,13160
Royal Caribbean,Bahamas,New York,Balcony,6,2,23,5,4,22790
Celebrity,Caribbean,San Juan,Ocean View,4,8,210,2,2,6820
MSC,Northern Europe,Seattle,Balcony,9,1,359,23,1,15200
Celebrity,Caribbean,Seattle,Interior,5,3,45,10,2,9690
Holland America,Hawaii,New Orleans,Interior,7,9,237,15,2,14530
Holland America,Northern Europe,San Juan,Ocean View,8,12,323,9,3,34520
Carnival,Bahamas,Port Canaveral,Balcony,5,12,331,4,3,11630
Celebrity,Hawaii,Fort Lauderdale,Interior,3,7,164,14,2,10330
Princess,Bahamas,Fort Lauderdale,Ocean View,4,9,236,17,2,3880
Holland America,Bahamas,Fort Lauderdale,Interior,5,3,54,19,2,6100
Celebrity,Northern Europe,New Orleans,Interior,8,11,293,7,2,17510
Norwegian,Northern Europe,Port Canaveral,Ocean View,11,10,259,4,1,15320
Holland America,Mexico,New Orleans,Suite,6,3,46,11,2,20950
MSC,South Pacific,Los Angeles,Ocean View,11,2,10,12,2,31030
Holland America,Hawaii,Galveston,Suite,5,12,340,19,2,32660
Celebrity,Mediterranean,Galveston,Suite,13,7,170,9,3,143510
Disney,Mediterranean,Seattle,Balcony,13,8,193,3,4,172360
MSC,Alaska,Los Angeles,Interior,10,9,231,25,2,14720
Carnival,Northern Europe,Port Canaveral,Suite,10,6,136,21,2,62200
Holland America,Northern Europe,Los Angeles,Interior,14,11,305,12,2,34420
Holland America,Caribbean,New York,Balcony,6,3,50,3,3,24640
Celebrity,Alaska,San Juan,Interior,13,7,176,25,2,34310
Royal Caribbean,Bahamas,Tampa,Balcony,6,10,272,17,2,6700
MSC,South Pacific,Seattle,Balcony,9,7,183,0,2,34020
Princess,Northern Europe,Fort Lauderdale,Interior,9,7,185,9,2,31520
MSC,South Pacific,Los Angeles,Balcony,14,7,170,2,2,57040
Carnival,Caribbean,Fort Lauderdale,Balcony,6,4,91,23,2,10170
Norwegian,Alaska,New York,Balcony,14,5,125,25,2,34320
Norwegian,Alaska,Seattle,Suite,10,9,237,18,2,50530
Royal Caribbean,Mediterranean,New Orleans,Ocean View,8,11,302,3,3,27360
Norwegian,Hawaii,Tampa,Balcony,6,6,141,21,3,31290
Celebrity,Northern Europe,San Juan,Suite,12,9,241,19,2,73160
Princess,Bahamas,Galveston,Ocean View,4,7,163,3,2,3950
Norwegian,Northern Europe,San Juan,Suite,13,9,223,5,2,88590
Norwegian,Alaska,New Orleans,Suite,12,9,237,19,1,30660
Celebrity,Caribbean,Port Canaveral,Suite,4,8,203,17,2,11940
Disney,Northern Europe,Seattle,Suite,14,10,257,5,1,70780
Royal Caribbean,Mediterranean,Miami,Balcony,11,4,93,24,2,29880
Disney,Bahamas,New Orleans,Interior,7,8,194,17,3,9290
Royal Caribbean,South Pacific,Seattle,Ocean View,10,7,159,1,2,36980
Celebrity,Bahamas,Fort Lauderdale,Suite,7,6,128,6,3,26000
Celebrity,Northern Europe,San Juan,Ocean View,10,5,112,25,1,18000
Celebrity,Mexico,Galveston,Ocean View,10,6,156,9,2,13940
Carnival,Alaska,Miami,Suite,11,4,74,7,2,40810
Celebrity,Mediterranean,Los Angeles,Suite,11,12,328,13,2,74010
Carnival,Bahamas,New York,Suite,7,1,362,11,2,20740
Disney,Hawaii,Fort Lauderdale,Interior,7,9,241,20,2,19440
Celebrity,Bahamas,Tampa,Suite,9,5,115,15,2,21000
Princess,Hawaii,San Juan,Ocean View,8,7,182,21,3,36010
Royal Caribbean,Bahamas,Miami,Suite,4,4,87,14,2,9900
Holland America,Mediterranean,New Orleans,Ocean View,11,3,54,20,2,24790
Carnival,Hawaii,Miami,Ocean View,5,7,163,23,2,15520
MSC,Northern Europe,Fort Lauderdale,Interior,14,3,46,4,2,23990
Disney,Caribbean,Galveston,Interior,7,9,223,22,2,8500
Carnival,Mediterranean,Fort Lauderdale,Suite,8,3,59,10,2,32550
Princess,Alaska,Port Canaveral,Suite,9,3,42,16,2,32930
Norwegian,South Pacific,Tampa,Balcony,9,8,217,19,2,30070
MSC,Bahamas,Port Canaveral,Interior,7,11,308,23,2,4730
Holland America,Hawaii,Tampa,Ocean View,5,3,50,7,2,14710
Princess,Caribbean,Tampa,Balcony,6,10,267,6,3,13730
Princess,Caribbean,Los Angeles,Ocean View,5,6,130,15,2,7830
Carnival,Caribbean,Galveston,Balcony,4,11,298,13,2,5180
Norwegian,South Pacific,Miami,Interior,7,6,141,6,1,10140
Royal Caribbean,Northern Europe,New York,Balcony,13,8,212,2,2,74800
Norwegian,Mexico,New Orleans,Interior,4,5,111,25,2,3250
Celebrity,Northern Europe,New Orleans,Interior,10,3,36,7,1,15210
Holland America,Bahamas,San Juan,Suite,6,7,165,21,3,18590
Norwegian,Bahamas,Port Canaveral,Interior,7,4,90,15,4,10700
Princess,Alaska,Port Canaveral,Balcony,11,4,67,24,3,37620
Celebrity,Northern Europe,New York,Balcony,8,10,261,14,2,34630
Royal Caribbean,South Pacific,Galveston,Ocean View,8,11,300,21,3,37330
MSC,Caribbean,Miami,Interior,5,9,248,11,2,4770
Norwegian,Alaska,New York,Interior,13,5,121,10,2,25030
Celebrity,Mexico,San Juan,Interior,5,10,264,21,4,8480
Norwegian,Mediterranean,Seattle,Interior,14,6,151,24,3,48720
Celebrity,Bahamas,Miami,Suite,5,6,156,18,3,17180
MSC,South Pacific,San Juan,Balcony,10,11,286,24,3,44930
Norwegian,Caribbean,Miami,Suite,5,7,184,20,3,17780
Royal Caribbean,Hawaii,Seattle,Interior,7,7,164,3,2,24960
MSC,Northern Europe,Miami,Suite,10,6,150,2,1,44080
MSC,Northern Europe,Los Angeles,Balcony,10,11,304,3,2,31690
Holland America,Bahamas,Seattle,Interior,6,4,73,7,2,7790
Celebrity,Northern Europe,Galveston,Balcony,10,3,45,6,2,37970
Carnival,Alaska,Port Canaveral,Interior,12,8,215,3,2,25390
MSC,South Pacific,Los Angeles,Balcony,8,3,53,5,3,49400
Princess,Caribbean,Galveston,Ocean View,4,6,134,11,2,5340
Royal Caribbean,Mexico,Port Canaveral,Balcony,3,8,214,14,2,4800
MSC,Bahamas,Fort Lauderdale,Suite,7,4,78,3,1,9480
MSC,Alaska,Seattle,Ocean View,8,11,305,18,2,13430
Carnival,Caribbean,Tampa,Interior,8,9,234,25,2,5870
Celebrity,Bahamas,Los Angeles,Interior,4,11,300,13,3,5140
Holland America,South Pacific,Seattle,Interior,9,7,188,6,4,44810
Princess,Mexico,Port Canaveral,Suite,3,12,324,19,2,9200
Princess,South Pacific,New York,Suite,8,6,150,12,2,61070
MSC,Mediterranean,Seattle,Interior,12,10,252,17,3,23120
Celebrity,Hawaii,New Orleans,Suite,4,7,170,19,2,27950
Princess,Caribbean,New York,Suite,5,11,306,7,4,36190
Carnival,Mediterranean,New Orleans,Ocean View,7,5,119,18,3,16230
Holland America,Hawaii,Port Canaveral,Ocean View,5,7,169,25,3,27230
Celebrity,Caribbean,San Juan,Balcony,6,11,295,6,3,16150
Disney,Mexico,Los Angeles,Ocean View,3,2,35,7,2,7420
Royal Caribbean,South Pacific,Galveston,Interior,10,4,73,10,3,35460
Celebrity,Caribbean,Port Canaveral,Interior,6,4,79,24,2,8800
Celebrity,Bahamas,Seattle,Balcony,6,7,179,9,2,11230
Norwegian,Northern Europe,Galveston,Suite,12,5,121,21,2,56150
Norwegian,Northern Europe,New Orleans,Balcony,7,11,300,12,3,30590
Royal Caribbean,Alaska,San Juan,Balcony,8,10,261,4,2,19720
Carnival,Mediterranean,Galveston,Balcony,8,1,350,20,3,24330
Celebrity,South Pacific,New Orleans,Interior,8,7,186,8,3,32220
Royal Caribbean,Caribbean,Los Angeles,Suite,7,4,92,13,2,26350
Holland America,Hawaii,Fort Lauderdale,Suite,7,11,302,20,3,62480
MSC,Alaska,Fort Lauderdale,Suite,7,6,157,0,2,40390
Carnival,Bahamas,Port Canaveral,Balcony,8,4,89,23,1,5470
Carnival,Hawaii,Miami,Suite,5,12,341,5,2,37170
Holland America,Alaska,Fort Lauderdale,Interior,10,8,216,22,2,23960
Princess,Mexico,Tampa,Balcony,4,8,208,18,2,5990
